Entity,Code,Year,Forest area
Colombia,COL,2002,62349958
Colombia,COL,2003,62157187.00000001
Colombia,COL,2004,61964416
Colombia,COL,2005,61771645
Colombia,COL,2006,61578874
Colombia,COL,2007,61386102.99999999
Colombia,COL,2008,61193332
Colombia,COL,2009,61000560.99999999
Colombia,COL,2010,60807790
Colombia,COL,2011,60673164.00000001
Colombia,COL,2012,60538538
Colombia,COL,2013,60403912.00000001
Colombia,COL,2014,60269285.99999999
Colombia,COL,2015,60134660
Colombia,COL,2016,59936110
Colombia,COL,2017,59737560
Colombia,COL,2018,59539010
Colombia,COL,2019,59340460
Colombia,COL,2020,59141910
Venezuela,VEN,1990,52026000
Venezuela,VEN,1991,51738500
Venezuela,VEN,1992,51451000
Venezuela,VEN,1993,51163500
Venezuela,VEN,1994,50876000
Venezuela,VEN,1995,50588500
Venezuela,VEN,1996,50301000
Venezuela,VEN,1997,50013500
Venezuela,VEN,1998,49726000
Venezuela,VEN,1999,49438500
Venezuela,VEN,2000,49151000
Venezuela,VEN,2001,48986400
Venezuela,VEN,2002,48821800
Venezuela,VEN,2003,48657200
Venezuela,VEN,2004,48492600
Venezuela,VEN,2005,48328000
Venezuela,VEN,2006,48163400
Venezuela,VEN,2007,47998800
Venezuela,VEN,2008,47834200
Venezuela,VEN,2009,47669600
Venezuela,VEN,2010,47505000
Venezuela,VEN,2011,47340600
Venezuela,VEN,2012,47176200
Venezuela,VEN,2013,47011800
Venezuela,VEN,2014,46847400
Venezuela,VEN,2015,46683000
Venezuela,VEN,2016,46592580
Venezuela,VEN,2017,46502160
Venezuela,VEN,2018,46411740
Venezuela,VEN,2019,46321320
Venezuela,VEN,2020,46230900
Guyana,GUY,1990,18602150
Guyana,GUY,1991,18598357
Guyana,GUY,1992,18594564
Guyana,GUY,1993,18590771
Guyana,GUY,1994,18586978
Guyana,GUY,1995,18583185
Guyana,GUY,1996,18579392
Guyana,GUY,1997,18575599
Guyana,GUY,1998,18571806
Guyana,GUY,1999,18568013
Guyana,GUY,2000,18564220
Guyana,GUY,2001,18559779
Guyana,GUY,2002,18555338
Guyana,GUY,2003,18550897
Guyana,GUY,2004,18546456.000000004
Guyana,GUY,2005,18542015
Guyana,GUY,2006,18537574
Guyana,GUY,2007,18533133
Guyana,GUY,2008,18528692
Guyana,GUY,2009,18524251
Guyana,GUY,2010,18519810
Guyana,GUY,2011,18508120
Guyana,GUY,2012,18496430
Guyana,GUY,2013,18484740
Guyana,GUY,2014,18473050
Guyana,GUY,2015,18461360
Guyana,GUY,2016,18452156.000000004
Guyana,GUY,2017,18442952
Guyana,GUY,2018,18433748
Guyana,GUY,2019,18424543.999999996
Guyana,GUY,2020,18415340
Suriname,SUR,1990,15377630
Suriname,SUR,1991,15373954
Suriname,SUR,1992,15370278
Suriname,SUR,1993,15366601.999999998
Suriname,SUR,1994,15362926.000000002
Suriname,SUR,1995,15359250
Suriname,SUR,1996,15355573.999999998
Suriname,SUR,1997,15351898.000000002
Suriname,SUR,1998,15348222
Suriname,SUR,1999,15344546
Suriname,SUR,2000,15340870
Suriname,SUR,2001,15336768.999999998
Suriname,SUR,2002,15332668
Suriname,SUR,2003,15328567
Suriname,SUR,2004,15324466
Suriname,SUR,2005,15320365
Suriname,SUR,2006,15316264
Suriname,SUR,2007,15312163
Suriname,SUR,2008,15308062
Suriname,SUR,2009,15303961.000000002
Suriname,SUR,2010,15299860
Suriname,SUR,2011,15290222
Suriname,SUR,2012,15280583.999999998
Suriname,SUR,2013,15270946.000000002
Suriname,SUR,2014,15261308
Suriname,SUR,2015,15251670
Suriname,SUR,2016,15240594
Suriname,SUR,2017,15229518
Suriname,SUR,2018,15218442
Suriname,SUR,2019,15207366.000000002
Suriname,SUR,2020,15196290
